,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Fold
0,14.0,14.0,0.0,5.0,1599.0,Yes,No,Flat
1,10.0,10.0,0.0,5.0,575.0,Yes,No,Flat
2,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
3,5.59,7.99,30.0,4.8833,1722.0,No,No,Flat
4,5.81,5.81,0.0,4.9303,1913.0,Yes,Yes,Flat
5,14.93,14.93,0.0,4.9444,756.0,Yes,No,Flat
6,2.3,2.3,0.0,4.9248,403.0,No,No,Flat
7,3.95,13.16,70.0,4.9146,2267.0,No,No,Flat
8,5.0,5.0,0.0,4.8421,1453.0,Yes,No,Flat
9,6.7,6.7,0.0,4.9512,1307.0,No,No,Flat
10,9.99,9.99,0.0,4.9279,4173.0,No,No,Flat
11,5.0,5.0,0.0,4.8846,114.0,No,Yes,Flat
12,7.5,7.5,0.0,4.9357,4748.0,No,No,Flat
13,7.64,8.99,15.0,4.8951,3752.0,No,No,Flat
14,14.99,14.99,0.0,4.9351,1520.0,Yes,No,Flat
15,43.88,43.88,0.0,5.0,1438.0,Yes,No,Flat
16,18.19,25.99,30.0,4.9451,2013.0,No,No,Flat
17,12.99,12.99,0.0,4.9062,4856.0,Yes,No,Flat
18,8.0,8.0,0.0,5.0,635.0,No,No,Flat
19,3.59,7.18,50.0,5.0,476.0,No,No,Flat
20,6.5,6.5,0.0,5.0,471.0,No,No,Flat
21,280.0,280.0,0.0,4.2857,1159.0,No,No,Flat
22,7.82,11.17,30.0,4.8925,4588.0,No,No,Flat
23,7.0,7.0,0.0,4.5542,572.0,Yes,No,Flat
24,2.0,2.0,0.0,4.9659,1293.0,No,No,Flat
25,15.0,15.0,0.0,5.0,3398.0,Yes,No,Flat
26,3.59,3.59,0.0,4.7059,232.0,No,No,Flat
27,7.16,7.16,0.0,4.9,5528.0,No,No,Flat
28,3.75,3.75,0.0,4.9787,1128.0,No,No,Flat
29,5.3,5.3,0.0,4.9524,608.0,Yes,No,Flat
30,9.59,15.99,40.0,4.8958,1198.0,No,No,Flat
31,15.0,15.0,0.0,5.0,535.0,Yes,No,Flat
32,8.5,8.5,0.0,4.9811,1670.0,Yes,No,Flat
33,125.0,125.0,0.0,,,Yes,No,Flat
34,0.5,0.5,0.0,4.9052,2571.0,Yes,No,Flat
35,12.0,12.0,0.0,5.0,255.0,Yes,No,Flat
36,10.0,10.0,0.0,4.9651,5486.0,Yes,No,Flat
37,9.99,9.99,0.0,4.8955,2081.0,No,No,Flat
38,16.0,16.0,0.0,5.0,230.0,Yes,No,Flat
39,4.67,4.67,0.0,4.9545,571.0,No,No,Flat
40,13.99,13.99,0.0,4.9787,2624.0,Yes,No,Flat
41,5.73,5.73,0.0,4.9793,342.0,No,No,Flat
42,10.4,13.0,20.0,4.9796,3891.0,Yes,No,Flat
43,17.55,17.55,0.0,5.0,831.0,Yes,No,Flat
44,4.0,4.0,0.0,4.8889,223.0,No,No,Flat
45,9.77,11.5,15.0,4.8791,465.0,No,No,Flat
46,10.2,12.0,15.0,4.9553,6694.0,Yes,No,Flat
47,10.0,10.0,0.0,4.9538,456.0,Yes,No,Flat
48,12.0,12.0,0.0,4.9114,1264.0,Yes,No,Flat
