,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Expensive
0,0.36,0.36,0.0,4.9251,7202.0,No,Yes,U10
1,10.0,10.0,0.0,5.0,575.0,Yes,No,U10
2,5.99,5.99,0.0,4.8311,1420.0,No,Yes,U10
3,5.0,5.0,0.0,4.9461,842.0,Yes,No,U10
4,4.47,8.95,50.0,4.8889,1413.0,Yes,No,U10
5,1.3,1.3,0.0,4.8375,3568.0,No,No,U10
6,2.25,2.25,0.0,4.9561,2048.0,Yes,No,U10
7,1.5,1.5,0.0,4.6842,171.0,No,No,U10
8,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
9,5.81,5.81,0.0,4.9303,1913.0,Yes,Yes,U10
10,4.5,4.5,0.0,4.7083,1248.0,No,No,U10
11,0.89,0.99,10.0,4.9184,4450.0,No,No,U10
12,6.64,6.64,0.0,4.9145,6563.0,No,No,U10
13,5.0,5.0,0.0,4.8519,480.0,Yes,No,U10
14,5.59,7.99,30.0,4.8833,1722.0,No,No,U10
15,2.17,2.17,0.0,4.9553,1961.0,Yes,Yes,U10
16,10.0,10.0,0.0,4.88,2188.0,Yes,No,U10
17,3.95,13.16,70.0,4.9146,2267.0,No,No,U10
18,2.3,2.3,0.0,4.9248,403.0,No,No,U10
19,2.66,5.33,50.0,4.9749,1242.0,No,No,U10
20,4.15,4.15,0.0,4.9444,756.0,No,No,U10
21,4.16,4.16,0.0,4.7547,780.0,No,No,U10
22,2.75,2.75,0.0,4.9524,649.0,Yes,No,U10
23,5.02,5.02,0.0,4.8913,348.0,No,No,U10
24,5.4,9.0,40.0,4.9582,7211.0,No,No,U10
25,2.15,2.15,0.0,4.5,440.0,No,No,U10
26,5.0,5.0,0.0,4.8421,1453.0,Yes,No,U10
27,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
28,5.0,5.0,0.0,4.8846,114.0,No,Yes,U10
29,9.99,9.99,0.0,4.9279,4173.0,No,No,U10
30,7.64,8.99,15.0,4.8951,3752.0,No,No,U10
31,6.9,6.9,0.0,4.9524,608.0,Yes,No,U10
32,7.5,7.5,0.0,4.9357,4748.0,No,No,U10
33,5.0,5.0,0.0,4.9518,1945.0,Yes,No,U10
34,6.95,6.95,0.0,4.8654,1546.0,No,No,U10
35,5.4,9.0,40.0,4.9366,5008.0,No,No,U10
36,3.9,3.9,0.0,4.9796,18904.0,No,No,U10
37,7.0,7.0,0.0,4.996,1215.0,No,Yes,U10
38,5.67,5.67,0.0,4.8839999999999995,1406.0,Yes,No,U10
39,6.5,6.5,0.0,4.9505,10885.0,No,No,U10
40,9.0,10.0,10.0,4.8625,360.0,No,No,U10
41,7.5,15.0,50.0,4.7822,3003.0,No,No,U10
42,9.5,9.5,0.0,4.9485,1651.0,Yes,No,U10
43,3.5,3.5,0.0,4.95,2133.0,No,Yes,U10
