,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Season
0,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
1,9.75,13.0,25.0,4.9795,3889.0,Yes,No,Spring
2,6.2,6.2,0.0,4.8288,1414.0,No,No,Spring
3,123.0,123.0,0.0,5.0,167.0,Yes,No,Spring
4,21.69,25.52,15.0,4.9577,401.0,Yes,No,Spring
5,9.99,9.99,0.0,4.9293,3633.0,No,No,Spring
6,10.0,10.0,0.0,5.0,575.0,Yes,No,Spring
7,15.0,15.0,0.0,4.9862,1794.0,Yes,No,Spring
8,23.0,23.0,0.0,4.9755,1920.0,Yes,No,Spring
9,100.0,100.0,0.0,4.5542,571.0,Yes,No,Spring
10,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
11,2.75,2.75,0.0,4.5714,108.0,No,No,Spring
12,14.9,14.9,0.0,4.9441,1560.0,No,No,Spring
13,7.96,9.95,20.0,4.9574,195.0,No,No,Spring
14,7.51,7.51,0.0,4.9779,461.0,No,No,Spring
15,15.99,19.99,20.0,4.8196,10098.0,Yes,No,Spring
16,25.9,25.9,0.0,5.0,25.0,Yes,No,Spring
17,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
18,10.8,12.0,10.0,4.9549,6691.0,Yes,No,Spring
19,18.0,18.0,0.0,4.913,265.0,No,No,Spring
20,8.99,8.99,0.0,5.0,735.0,No,No,Spring
21,1.8,3.0,40.0,4.8333,12.0,Yes,No,Spring
22,0.8,0.8,0.0,4.9383,2116.0,Yes,No,Spring
23,7.94,11.34,30.0,4.923,6301.0,No,No,Spring
24,12.0,15.0,20.0,4.8077,696.0,Yes,No,Spring
25,12.98,16.22,20.0,5.0,815.0,Yes,No,Spring
26,3.82,4.25,10.0,4.891,1776.0,No,No,Spring
27,14.11,14.11,0.0,4.9375,135.0,Yes,No,Spring
28,5.0,5.0,0.0,4.9126,1327.0,Yes,No,Spring
29,11.9,11.9,0.0,5.0,218.0,Yes,No,Spring
30,1.37,1.37,0.0,4.9714,286.0,Yes,No,Spring
31,2.3,2.3,0.0,4.9506,1943.0,Yes,No,Spring
32,1.5,1.5,0.0,,,Yes,No,Spring
33,10.0,10.0,0.0,5.0,1.0,No,No,Spring
34,23.97,34.25,30.0,4.9830000000000005,14294.0,Yes,No,Spring
35,10.0,10.0,0.0,4.8048,3284.0,No,No,Spring
36,2.1,2.1,0.0,5.0,13.0,Yes,No,Spring
37,73.5,73.5,0.0,5.0,341.0,Yes,No,Spring
38,4.11,4.11,0.0,4.5,35.0,No,No,Spring
39,14.95,14.95,0.0,5.0,169.0,Yes,No,Spring
40,18.0,18.0,0.0,4.9464,1334.0,Yes,No,Spring
41,30.0,30.0,0.0,,,Yes,No,Spring
42,30.0,30.0,0.0,4.7586,1766.0,Yes,No,Spring
43,22.08,22.08,0.0,4.0,34.0,Yes,No,Spring
44,8.73,8.73,0.0,4.8905,1254.0,No,No,Spring
45,0.7,1.0,30.0,4.9572,13903.0,Yes,No,Spring
46,15.0,15.0,0.0,5.0,58.0,No,No,Spring
47,10.98,10.98,0.0,5.0,4.0,Yes,No,Spring
48,15.0,15.0,0.0,4.971,512.0,Yes,No,Spring
49,3.24,3.24,0.0,5.0,32.0,No,No,Spring
50,8.24,10.99,25.0,5.0,1058.0,No,No,Spring
51,18.4,18.4,0.0,,,No,No,Spring
52,3.99,3.99,0.0,,,No,No,Spring
53,50.0,50.0,0.0,4.9429,453.0,Yes,No,Spring
54,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
55,8.99,8.99,0.0,5.0,377.0,Yes,No,Spring
56,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
57,1.8,3.0,40.0,4.8333,12.0,Yes,No,Spring
58,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
59,18.0,18.0,0.0,4.913,265.0,No,No,Spring
60,5.0,5.0,0.0,,,Yes,No,Spring
61,2.1,2.1,0.0,5.0,13.0,Yes,No,Spring
62,14.99,18.74,20.0,4.8196,10098.0,Yes,No,Spring
63,7.96,9.95,20.0,4.9574,195.0,No,No,Spring
64,20.86,24.54,15.0,4.9577,401.0,Yes,No,Spring
65,12.98,16.22,20.0,5.0,815.0,Yes,No,Spring
66,15.0,15.0,0.0,4.9755,1920.0,Yes,No,Spring
67,3.99,3.99,0.0,,,No,No,Spring
68,5.0,5.0,0.0,5.0,1.0,Yes,No,Spring
69,11.97,11.97,0.0,4.9877,1206.0,No,No,Spring
70,15.0,15.0,0.0,4.9862,1794.0,Yes,No,Spring
71,1.95,1.95,0.0,4.8673,2785.0,Yes,No,Spring
72,15.0,15.0,0.0,4.9646,11932.0,No,No,Spring
73,12.0,12.0,0.0,5.0,34.0,Yes,No,Spring
74,5.0,5.0,0.0,4.9506,1943.0,Yes,No,Spring
75,12.99,12.99,0.0,4.9478,4446.0,No,No,Spring
76,8.0,8.0,0.0,4.3333,4.0,No,No,Spring
77,9.99,9.99,0.0,4.8864,860.0,No,No,Spring
78,55.0,55.0,0.0,,,Yes,No,Spring
79,12.46,12.46,0.0,5.0,197.0,No,No,Spring
80,9.6,12.0,20.0,5.0,54.0,No,No,Spring
81,1.43,1.43,0.0,4.9561,341.0,No,No,Spring
82,7.0,7.0,0.0,4.913,54.0,Yes,No,Spring
83,25.0,25.0,0.0,4.9846,1968.0,Yes,No,Spring
84,3.5,3.5,0.0,5.0,93.0,No,No,Spring
85,6.5,6.5,0.0,4.8854,161.0,Yes,No,Spring
86,1.44,1.44,0.0,5.0,48.0,No,No,Spring
87,10.0,10.0,0.0,4.8816,1180.0,No,No,Spring
88,15.0,15.0,0.0,4.971,512.0,Yes,No,Spring
89,10.0,10.0,0.0,4.9,504.0,Yes,No,Spring
90,22.0,22.0,0.0,4.9612,1619.0,No,No,Spring
91,14.99,14.99,0.0,5.0,190.0,No,No,Spring
92,9.0,10.0,10.0,4.9589,2223.0,No,No,Spring
93,5.0,5.0,0.0,5.0,177.0,Yes,No,Spring
94,16.94,19.93,15.0,4.9552,396.0,Yes,No,Spring
95,2.87,2.87,0.0,4.9847,1617.0,No,No,Spring
96,10.0,10.0,0.0,4.984,3127.0,No,No,Spring
97,8.75,8.75,0.0,4.8631,4144.0,No,No,Spring
98,9.0,10.0,10.0,4.9423,435.0,No,No,Spring
99,1.44,1.44,0.0,5.0,11.0,No,No,Spring
100,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
101,1.8,3.0,40.0,4.8333,12.0,Yes,No,Spring
102,125.0,125.0,0.0,4.913,265.0,Yes,No,Spring
103,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
104,1.5,1.5,0.0,,,Yes,No,Spring
105,2.1,2.1,0.0,5.0,13.0,Yes,No,Spring
106,15.99,19.99,20.0,4.8196,10098.0,Yes,No,Spring
107,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
108,26.0,26.0,0.0,4.9755,1920.0,Yes,No,Spring
109,21.69,25.52,15.0,4.9577,401.0,Yes,No,Spring
110,15.96,19.95,20.0,4.9574,195.0,No,No,Spring
111,3.5,3.5,0.0,5.0,93.0,No,No,Spring
112,1.44,1.44,0.0,5.0,11.0,No,No,Spring
113,5.0,5.0,0.0,4.8816,1180.0,No,No,Spring
114,11.0,11.0,0.0,4.9612,1619.0,No,No,Spring
115,19.85,39.7,50.0,5.0,21.0,Yes,No,Spring
116,0.2,0.2,0.0,4.9841,317.0,Yes,No,Spring
117,0.7,1.0,30.0,4.9572,13903.0,Yes,No,Spring
118,61.11,61.11,0.0,4.988,1059.0,Yes,No,Spring
119,5.0,5.0,0.0,4.8182,219.0,No,No,Spring
120,1.7,1.7,0.0,4.9355,106.0,No,No,Spring
121,12.95,12.95,0.0,4.871,185.0,No,No,Spring
122,12.9,12.9,0.0,5.0,25.0,No,No,Spring
123,9.22,12.3,25.0,4.9588,700.0,No,No,Spring
124,15.0,15.0,0.0,4.9862,1794.0,Yes,No,Spring
125,5.0,5.0,0.0,4.9658,1287.0,Yes,No,Spring
126,12.0,12.0,0.0,5.0,846.0,Yes,No,Spring
127,18.19,25.99,30.0,4.9444,2012.0,No,No,Spring
128,6.13,6.13,0.0,5.0,10.0,No,No,Spring
129,9.0,15.0,40.0,4.9571,942.0,No,No,Spring
130,12.8,12.8,0.0,5.0,204.0,Yes,No,Spring
131,8.25,8.25,0.0,4.98,109.0,Yes,No,Spring
132,1.75,3.5,50.0,4.9627,651.0,No,No,Spring
133,9.0,12.0,25.0,4.9608,6154.0,No,No,Spring
