,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Theme
0,14.0,14.0,0.0,5.0,1598.0,Yes,No,Boho
1,14.99,14.99,0.0,4.9268,4163.0,No,No,Boho
2,9.59,15.99,40.0,4.8951,1197.0,No,No,Boho
3,5.59,7.99,30.0,4.8828,1719.0,No,No,Boho
4,10.0,10.0,0.0,4.9538,456.0,Yes,No,Boho
5,5.5,5.5,0.0,4.9298,333.0,Yes,No,Boho
6,6.5,6.5,0.0,5.0,72.0,Yes,No,Boho
7,5.0,5.0,0.0,5.0,337.0,Yes,No,Boho
8,6.8,6.8,0.0,4.9688,189.0,No,No,Boho
9,5.0,5.0,0.0,4.9722,1954.0,Yes,No,Boho
10,12.0,12.0,0.0,5.0,54.0,Yes,No,Boho
11,18.27,18.27,0.0,4.8889,76.0,No,No,Boho
12,9.77,11.5,15.0,4.8791,464.0,No,No,Boho
13,4.25,4.25,0.0,4.8519,480.0,Yes,No,Boho
14,0.66,0.66,0.0,5.0,285.0,No,No,Boho
15,90.69,113.36,20.0,5.0,762.0,Yes,No,Boho
16,140.0,140.0,0.0,4.9892,1122.0,Yes,No,Boho
17,13.46,15.83,15.0,4.9492,1095.0,No,No,Boho
18,4.68,4.68,0.0,4.9877,369.0,No,No,Boho
19,10.5,14.0,25.0,4.8614,1032.0,Yes,No,Boho
20,3.75,3.75,0.0,5.0,498.0,Yes,No,Boho
21,8.85,8.85,0.0,4.9510000000000005,1306.0,No,No,Boho
22,1.65,1.65,0.0,5.0,948.0,No,No,Boho
23,4.99,4.99,0.0,5.0,241.0,Yes,No,Boho
24,11.0,11.0,0.0,5.0,464.0,Yes,No,Boho
25,15.99,19.99,20.0,4.8196,10096.0,Yes,No,Boho
26,15.99,19.99,20.0,5.0,112.0,No,No,Boho
27,12.59,17.99,30.0,4.8133,289.0,No,No,Boho
28,4.0,5.0,20.0,4.871,662.0,Yes,No,Boho
29,24.9,24.9,0.0,4.9512,1178.0,Yes,No,Boho
30,4.32,4.32,0.0,4.8852,1061.0,No,No,Boho
