,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Type
0,5.99,5.99,0.0,4.8311,1420.0,No,Yes,Handmade
1,21.99,31.41,30.0,4.9829,14297.0,Yes,No,Handmade
2,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
3,7.94,11.34,30.0,4.9233,6307.0,No,No,Handmade
4,0.36,0.36,0.0,4.9251,7202.0,No,Yes,Handmade
5,5.0,5.0,0.0,4.9461,842.0,Yes,No,Handmade
6,10.0,10.0,0.0,5.0,575.0,Yes,No,Handmade
7,5.0,10.0,50.0,4.7822,3003.0,No,No,Handmade
8,4.47,8.95,50.0,4.8889,1413.0,Yes,No,Handmade
9,2.25,2.25,0.0,4.9561,2048.0,Yes,No,Handmade
10,14.0,14.0,0.0,5.0,1599.0,Yes,No,Handmade
11,1.3,1.3,0.0,4.8375,3568.0,No,No,Handmade
12,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Handmade
13,6.64,6.64,0.0,4.9145,6563.0,No,No,Handmade
14,4.5,4.5,0.0,4.7083,1248.0,No,No,Handmade
15,1.5,1.5,0.0,4.6842,171.0,No,No,Handmade
16,12.0,12.0,0.0,5.0,129.0,No,No,Handmade
17,273.29,273.29,0.0,5.0,4.0,No,No,Handmade
18,5.59,7.99,30.0,4.8833,1722.0,No,No,Handmade
19,0.89,0.99,10.0,4.9184,4450.0,No,No,Handmade
20,5.0,5.0,0.0,4.8519,480.0,Yes,No,Handmade
21,10.0,10.0,0.0,4.88,2188.0,Yes,No,Handmade
22,3.95,13.16,70.0,4.9146,2267.0,No,No,Handmade
23,18.31,18.31,0.0,4.75,1164.0,Yes,No,Handmade
24,10.0,10.0,0.0,4.9339,726.0,Yes,No,Handmade
25,10.6,10.6,0.0,4.875,421.0,Yes,No,Handmade
26,2.3,2.3,0.0,4.9248,403.0,No,No,Handmade
27,5.81,5.81,0.0,4.9303,1913.0,Yes,Yes,Handmade
28,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
29,2.66,5.33,50.0,4.9749,1242.0,No,No,Handmade
30,14.35,14.35,0.0,4.8936,349.0,No,No,Handmade
31,10.49,14.99,30.0,4.9503,6744.0,No,No,Handmade
32,2.17,2.17,0.0,4.9553,1961.0,Yes,Yes,Handmade
33,4.16,4.16,0.0,4.7547,780.0,No,No,Handmade
34,32.95,32.95,0.0,4.9386,3292.0,Yes,No,Handmade
35,87.12,87.12,0.0,4.95,282.0,No,No,Handmade
36,2.75,2.75,0.0,4.9524,649.0,Yes,No,Handmade
37,2.15,2.15,0.0,4.5,440.0,No,No,Handmade
38,130.0,130.0,0.0,4.9614,2539.0,No,No,Handmade
39,6.7,6.7,0.0,4.9512,1307.0,No,No,Handmade
40,5.0,5.0,0.0,4.8421,1453.0,Yes,No,Handmade
41,1.3,1.3,0.0,5.0,4097.0,Yes,No,Handmade
42,5.0,5.0,0.0,4.8846,114.0,No,Yes,Handmade
43,9.99,9.99,0.0,4.9279,4173.0,No,No,Handmade
44,7.64,8.99,15.0,4.8951,3752.0,No,No,Handmade
45,7.5,7.5,0.0,4.9357,4748.0,No,No,Handmade
46,6.9,6.9,0.0,4.9524,608.0,Yes,No,Handmade
47,5.4,9.0,40.0,4.9582,7211.0,No,No,Handmade
48,5.0,5.0,0.0,4.9518,1945.0,Yes,No,Handmade
49,6.95,6.95,0.0,4.8654,1546.0,No,No,Handmade
50,5.4,9.0,40.0,4.9366,5008.0,No,No,Handmade
51,43.88,43.88,0.0,5.0,1438.0,Yes,No,Handmade
52,14.99,14.99,0.0,4.9351,1520.0,Yes,No,Handmade
53,3.9,3.9,0.0,4.9796,18904.0,No,No,Handmade
54,5.67,5.67,0.0,4.8839999999999995,1406.0,Yes,No,Handmade
55,0.76,0.95,20.0,4.9184,4450.0,No,No,Handmade
56,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
57,5.59,7.99,30.0,4.8833,1722.0,No,No,Handmade
58,10.0,10.0,0.0,4.88,2188.0,Yes,No,Handmade
59,3.95,13.16,70.0,4.9146,2267.0,No,No,Handmade
60,12.21,12.21,0.0,4.875,421.0,Yes,No,Handmade
61,4.16,4.16,0.0,4.7547,780.0,No,No,Handmade
62,2.3,2.3,0.0,4.9248,403.0,No,No,Handmade
63,5.0,5.0,0.0,4.8519,480.0,Yes,No,Handmade
64,17.22,17.22,0.0,4.8936,349.0,No,No,Handmade
65,165.0,165.0,0.0,4.9614,2539.0,No,No,Handmade
66,18.31,18.31,0.0,4.75,1164.0,Yes,No,Handmade
67,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Handmade
68,14.0,14.0,0.0,5.0,1599.0,Yes,No,Handmade
69,1.3,1.3,0.0,5.0,4097.0,Yes,No,Handmade
70,7.5,7.5,0.0,4.9357,4748.0,No,No,Handmade
71,18.19,25.99,30.0,4.9451,2013.0,No,No,Handmade
72,12.0,12.0,0.0,4.6,698.0,Yes,No,Handmade
73,295.0,295.0,0.0,5.0,1205.0,Yes,No,Handmade
74,2.15,2.15,0.0,4.5,440.0,No,No,Handmade
75,3.0,5.0,40.0,4.9366,5008.0,No,No,Handmade
76,14.95,14.95,0.0,4.8757,15264.0,No,No,Handmade
77,15.0,15.0,0.0,5.0,2474.0,Yes,No,Handmade
78,7.0,7.0,0.0,4.996,1215.0,No,Yes,Handmade
79,6.5,6.5,0.0,4.9505,10885.0,No,No,Handmade
80,5.4,9.0,40.0,4.9582,7211.0,No,No,Handmade
81,9.0,10.0,10.0,4.8625,360.0,No,No,Handmade
